r4k2/2ppn3/np3p1r/3q3p/PP1B1R2/2PQ1PP1/5K2/R5N1 b - * 0 23;1
r7/2ppnk2/np3p1r/3q3p/PP1B1R2/2PQ1PP1/5K2/R5N1 w - * 1 24;1
r7/2ppnk2/np3p1r/3q3p/PP1B1R2/2PQ1PP1/5K2/4R1N1 b - * 2 24;1
r7/2ppnk2/np3p1r/3q4/PP1B1R1P/2PQ1P2/5K2/4R1N1 b - * 0 25;1
8/r1ppnk2/np3p1r/3q4/PP1B1R1P/2PQ1P2/5K2/4R1N1 w - * 1 26;1
8/r1ppnk2/np3p1r/3q4/PP1B1R1P/2P1QP2/5K2/4R1N1 b - * 2 26;1
8/r1pp1k2/npn2p1r/3q4/PP1B1R1P/2P1QP2/5K2/4R1N1 w - * 3 27;1
8/r1pp1k2/npn2p1r/3q4/PP1BR2P/2P1QP2/5K2/4R1N1 b - * 4 27;1
8/r1pp1k2/npn2pr1/3q4/PP1BR2P/2P1QP2/5K2/4R1N1 w - * 5 28;1
6k1/r1pp4/np3Q2/3q4/PP5P/2P2P2/5K2/4R1N1 b - * 0 31;1
6k1/r1pp4/np3Q2/8/PP5P/2P2P2/q3NK2/4R3 b - * 2 32;1
6k1/r1pp1q2/np3Q2/8/PP5P/2P2P2/4NK2/4R3 w - * 3 33;1
5k2/r1pp1q2/np3Q2/8/PP5P/2P2P2/4NK2/6R1 w - * 5 34;1
3Qqk2/r1pp4/np6/8/PP5P/2P2P2/4NK2/6R1 w - * 7 35;1
8/r1pQ4/np4k1/8/PP5P/2P2P2/4NK2/8 w - * 1 38;1
8/r1p3k1/np2Q3/8/PP5P/2P2P2/4NK2/8 w - * 3 39;1
8/r1p3k1/np2Q3/7P/PP6/2P2P2/4NK2/8 b - * 0 39;1
5k2/r1p5/np2Q3/7P/PP6/2P2P2/4NK2/8 w - * 1 40;1
5k2/r1p5/1p2Q2P/8/PP6/5P2/4NK2/8 b - * 0 41;1
5k2/8/1Q5P/2p5/rP6/5P2/4NK2/8 w - * 0 43;1
4k3/8/5Q1P/2p5/rP6/5P2/4NK2/8 w - * 2 44;1
8/5k2/7P/2p5/QP6/5P2/4NK2/8 b - * 0 45;1
8/5k2/7P/8/QPp5/5P2/4NK2/8 w - * 0 46;1
8/3Q4/5k1P/8/1Pp5/5P2/4NK2/8 w - * 2 47;1
8/8/7P/5k2/1PQ5/5P2/4NK2/8 b - * 0 48;1
8/8/6kP/8/1PQ5/5P2/4NK2/8 w - * 1 49;1
8/7k/4Q2P/8/1P6/5P2/4NK2/8 w - * 3 50;1
8/7k/5Q1P/8/1P6/5P2/4NK2/8 b - * 4 50;1
6k1/8/5Q1P/8/1P6/5P2/4NK2/8 w - * 5 51;1
rnb1kbnr/pp1ppppp/2p5/5q2/1P6/5PPP/P1PPP3/RNBQKBNR w KQkq * 1 5;0.5
rnb1kbnr/pp1ppppp/2p5/5q2/PP6/5PPP/2PPP3/RNBQKBNR b KQkq * 0 5;0.5
rnb1kbnr/pp1ppppp/2p5/4q3/PP6/5PPP/2PPP3/RNBQKBNR w KQkq * 1 6;0.5
rnb1kbnr/pp1ppppp/2p5/8/PP1P4/5PqP/2PKP3/RNBQ1BNR b kq * 1 7;0.5
rnb1kbnr/pp2pppp/2p5/3p4/PP1P4/5PqP/2PKP3/RNBQ1BNR w kq * 0 8;0.5
rnb1kbnr/pp2pppp/2p5/3p4/PP1P4/4PPqP/2PK4/RNBQ1BNR b kq * 0 8;0.5
rn2kbnr/pp2pppp/2p5/3p1b2/PP1P4/4PPqP/2PK4/RNBQ1BNR w kq * 1 9;0.5
rn2kbnr/pp2pppp/2p5/3p1b2/PP1P4/4PPqP/2PKB3/RNBQ2NR b kq * 2 9;0.5
r3kbnr/pp1npppp/2p5/3p1b2/PP1P4/4PPqP/2PKB3/RNBQ2NR w kq * 3 10;0.5
r3kbnr/pp1npppp/2p5/3p1b2/PP1P4/B3PPqP/2PKB3/RN1Q2NR b kq * 4 10;0.5
r3kbnr/pp3ppp/2p5/3pnb2/PP6/B3PPqP/2PKB3/RN1Q2NR w kq * 0 12;0.5
r3kbnr/pp3ppp/2p5/3pnb2/PP6/B1N1PPqP/2PKB3/R2Q2NR b kq * 1 12;0.5
r3k1nr/pp3ppp/2pb4/3pnb2/PP6/B1N1PPqP/2PKB3/R2Q2NR w kq * 2 13;0.5
r3k1nr/pp3ppp/2pb4/3pnb2/PP6/B1N1PPqP/2PKB3/2RQ2NR b kq * 3 13;0.5
r3k2r/pp2nppp/2pb4/3pnb2/PP6/B1N1PPqP/2PKB3/2RQ2NR w kq * 4 14;0.5
r3k2r/pp2nppp/2pb4/3pnb2/PP5P/B1N1PPq1/2PKB3/2RQ2NR b kq * 0 14;0.5
r6r/pp1knppp/2pb4/3pnb2/PP5P/B1N1PPq1/2PKB3/2RQ2NR w - * 1 15;0.5
r6r/pp1knppp/2pb4/3pnb1P/PP6/B1N1PPq1/2PKB3/2RQ2NR b - * 0 15;0.5
r6r/pp1knpp1/2pb3p/3pnb1P/PP6/B1N1PPq1/2PKB3/2RQ2NR w - * 0 16;0.5
r6r/pp1knpp1/2pb3p/3pnb1P/PP6/B1N1PP2/2PKB3/4R1NR b - * 0 17;0.5
r6r/1p1knpp1/2pb3p/p2pnb1P/PP6/B1N1PP2/2PKB3/4R1NR w - * 0 18;0.5
r6r/1p1knpp1/2p4p/3pnb1P/PR6/2N1PP2/2PKB3/6NR b - * 0 20;0.5
rr6/1p1knpp1/2p4p/3pnb1P/PR6/2N1PP2/2PKB3/6NR w - * 1 21;0.5
rr6/1p1knpp1/2p4p/3p1b1P/PR6/2NPPP2/3K4/6NR b - * 0 22;0.5
rr6/3knpp1/1pp4p/3p1b1P/PR6/2NPPP2/3K4/6NR w - * 0 23;0.5
rr6/3knpp1/1pp4p/3p1b1P/PR6/2NPPP2/3KN3/7R b - * 1 23;0.5
1r6/3knpp1/1pp4p/r2p1b1P/PR6/2NPPP2/3KN3/7R w - * 2 24;0.5
1r6/3knpp1/1pp4p/r2p1b1P/PR5R/2NPPP2/3KN3/8 b - * 3 24;0.5
1r6/3knpp1/1pp4p/2rp1b1P/PR5R/2NPPP2/3KN3/8 w - * 4 25;0.5
1r6/3knpp1/1pp4p/2rp1b1P/P2R3R/2NPPP2/3KN3/8 b - * 5 25;0.5
1r6/4npp1/1pp1k2p/2rp1b1P/P2R3R/2NPPP2/3KN3/8 w - * 6 26;0.5
1r6/4npp1/1pp4p/2rpkb1P/P2R1N1R/2NPPP2/3K4/8 w - * 8 27;0.5
1r6/4npp1/1pp4p/2rpkb1P/P2R3R/2NPPP2/3K2N1/8 b - * 9 27;0.5
1r6/4npp1/1pp2k1p/2rp1b1P/P2R3R/2NPPP2/3K2N1/8 w - * 10 28;0.5
1r6/4npp1/1pp2k1p/2rp1b1P/P2RP2R/2NP1P2/3K2N1/8 b - * 0 28;0.5
1r6/4npp1/1pp1bk1p/2rp3P/P2RP2R/2NP1P2/3K2N1/8 w - * 1 29;0.5
1r6/4npp1/1pp1bk1p/2rp3P/P2RPN1R/2NP1P2/3K4/8 b - * 2 29;0.5
4r3/4npp1/1pp1bk1p/2rP3P/P2R1N1R/2NP1P2/3K4/8 b - * 0 30;0.5
4r3/5pp1/1pp1bk1p/2rP1n1P/P2R1N1R/2NP1P2/3K4/8 w - * 1 31;0.5
4r3/5pp1/1pp1P2p/2r1k2P/P2nNN1R/3P1P2/3K4/8 w - * 0 33;0.5
4r3/6p1/1pp1P1pp/2r1k2P/P2nN2R/3P1P2/3K4/8 w - * 0 34;0.5
4r3/6p1/1pp1P1pp/2N2k1P/P2n1P1R/3P4/3K4/8 b - * 0 35;0.5
4r3/6p1/1pp1P1pp/2N2k1P/P4P1n/2KP4/8/8 w - * 0 37;0.5
4r3/3N2p1/1pp1P2p/5k1p/P4P1n/2KP4/8/8 w - * 0 38;0.5
4r3/3N2p1/2p1P2p/p4k1p/5P1n/2KP4/8/8 w - * 0 39;0.5
4r3/6p1/2p1P2p/p1N4p/5k1n/2KP4/8/8 w - * 0 40;0.5
4r3/6p1/2p1P2p/p1N4p/2K2k1n/3P4/8/8 b - * 1 40;0.5
4r3/8/2p1P1pp/p1N4p/2K2k1n/3P4/8/8 w - * 0 41;0.5
4r3/8/2p1P1pp/p1N4p/5k1n/1K1P4/8/8 b - * 1 41;0.5
4r3/8/2p1P1pp/p1N1k2p/7n/1K1P4/8/8 w - * 2 42;0.5
4r3/8/2p1P1pp/p1N1k2p/2K4n/3P4/8/8 b - * 3 42;0.5
